2024-10-31 00:16:20.538301
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
